用户名,性别,IP地址,评论内容
晕晕晕熏丶,保密,吉林,za有消息吗，让我在ns上mega吧，求求了
耶格利兹特,男,辽宁,给你升级下硬件 把cpu gpu升级下 这样还可以卖7年[呲牙]
灵感星源菇,男,日本,不知道王国之泪在这上能不能迎来一波优化[脱单doge]
蚂蚁地狱,保密,北京,ns2的机能可以和ps5持平吗？这样传说系列的掌机模式就可以稳60帧了，720p 60帧也知足啊[喜欢][打call]
堇瓜蹦蹦,保密,广东,好了，可以玩原神了，帕鲁应该也能玩[doge]
钡-钠-钠,保密,重庆,"《致Switch 2》
 
任天堂堂欢笑开，
Switch 2闪耀来。
磁吸手柄稳又快，
摇杆升级乐满怀。
 
屏幕清晰视野佳，
游戏畅玩无阻碍。
经典IP再登场，
全新冒险等你踩。
 
性能提升超厉害，
加载迅速不等待。
便携家用两相宜，
游戏时光更精彩。
 
玩家齐聚齐喝彩，
踏上征程新世代。
switch 2魅力足，
欢乐无限任你嗨。"
星榆v,保密,云南,能不能像PS5Pro节奏那样，把价格打下来
丿丶丨丿一,保密,云南,真的性能提升一大截？而不是一小丢丢嘛[微笑]
雲雲众生,保密,安徽,swith2建议入手吗，前年买的PS5吃灰了，倒不是不爱玩，就是被索狗气死了，没有第三方独占，游戏还比STEAM卖的贵，很多游戏优化还比STEAM版的垃圾，还有PSN会员涨价，就想着买台SWITH好歹能玩玩独占啊。
暴捶谜语人,保密,广东,老任调调就是一台一代性能，其他乱七八糟周边东西出一堆，铁定不止一个版本最后都搞你一波，完全体到时候买oled版笑
stadore,保密,湖南,什么时候能买到，等不及了，前几年就想买，结果听说了有2的消息一直等，感觉亏大了
Q斯基,男,湖北,接口最好改成点触式的，这太容易损坏了。
夜雨暗鸦,男,河北,我选择用ps5手柄在电脑上玩ns模拟器[doge_金箍]
neowang6688,保密,湖北,对老任家的机器不要抱有性能幻想，同时代的机器就数他家的机器性能最差[笑哭][笑哭][doge][doge]
exsadrilito,女,福建,外观有点丑
槿槿木-,男,江苏,手柄当鼠标用的话，打apex是不是就成转换器狗了[doge]
仲夏滛夢,男,辽宁,有看最新评论区习惯的同胞你好 当网上冲浪的时间太长时应该多分配一些时间干别的事情[爱心]
Lin_nk,男,广西,老joycon还能适配吗
秋葉原サディスト,保密,贵州,如果2代出了，那我在一代上买的数字版游戏可以在二代上玩吗？卡带我记得是兼容的
小刘想押韵,男,山东,看来老任没用从wii后的wiiu中吸取到教训 沉浸在switch的成功中
叶飞yf,男,广东,这命名方式想起了wiiu和wii[doge]那结局是否会不一样呢
胡丽莲114,保密,河北,为了火纹和宝可梦必须买
哇咔那斯埃,保密,山东,这黑边离谱了
芥子符,保密,浙江,买买买哈哈哈哈哈哈哈哈哈
喝了奶茶睡不着吗,男,上海,我要我要我要我要我要
甍毂觴亶,男,福建,公布性能参数了吗？
阳光-X,男,湖南,"BV1yDN7e8Eaz
对于NS2相比NS变化不大的疑问可以看看这个参考一下[tv_点赞]"
GRLARS,女,山东,ns的存档能转到ns2上吗[大哭]舍不得
北半球的赤赤,保密,黑龙江,首发能抢到不
正义的秦空帝尊,保密,山东,"昨天翻出很多年没玩的大三，研究出一个法子。
虽然没网了，但是自己秧一个小的局域网整个收发器还是可以。
试了一下，再加入外网一个私服。
相当于一代码的方式加入私服。
我现在大三 ，还能联机美滋滋！[嗑瓜子][嗑瓜子]

这个方式我分享到贴吧了，下一个外网私服。
很多游戏还是可以联网玩的。"
Lacfer,保密,江苏,话说lite会不会出第二代，我还挺喜欢一体机的
weirdcore,保密,上海,细节switch2预告视频2:22秒
DeepSeek2077,保密,重庆,红蓝配色
电磁感应小猫,保密,浙江,手柄卡扣不紧断联问题要是能通过磁吸方式解决我必买
忽然就下雪了,男,江苏,定价多少啊大概，有没有大佬估算一下
957,男,安徽,讨论这么热烈，我还以为ns在国内很畅销呢😂
高级惠特利,男,北京,"类比摇杆鼓咯？
漂移鼓咯？"
東城會直系天明組組長,男,黑龙江,等着看性能了 据说介于PS4和PRO之间
蜂蜜抽子86,保密,河南,暑假买的日版oled，回来一破解，和朋友玩老爽了，用不着[滑稽]
蓝毛厨_,保密,河南,今年就是发售我也不买，2025肯定黄牛满天飞，26年再买
鬼杰组の吉弔八千慧,保密,江苏,比Switch还大一圈，重量怎么样啊？会有轻量化设计吗
回忆靓冬瓜,男,辽宁,ns plus
小魔仙DD1986,男,上海,我希望新的任天堂游戏机SWITCH2有更多的运动游戏 有更多的互动性玩法 还有更重要的是有更加多的开放世界游戏 有更多的新地图让我去解锁 首先诚挚的感谢了！
一般通过一猫人,保密,福建,王国之泪1080p60帧包买的
总成一梦livi,男,江苏,能不能出Switch2 pro 半代升级，真的想要性能高一点的掌机[藏狐]
小忍加油努力,男,广东,希望掌机能720p稳60，主机能1080p稳60
声微zz,男,浙江,看来三月发售的爆料也错不了
魔进chaser追击者,保密,上海,按照老任的尿性，还是等后续推出oled机型在买吧！
蹲街伴寂寞,男,山东,弹幕刷见证历史的给爷看笑了
江崎w_,男,辽宁,这玩塞尔达两代能比原版流畅很多吗
皮僻晗,保密,北京,磁吸的？确定不会玩高兴了手上一用力给掰出来？switch1的时候那个滑轨就很恶心，用久了里面的缝隙都能塞下纸了。。。。。
橙暮落,男,湖南,更大了 意义何在 ns作为一个掌机已经够大了
高人一等少人一亩,保密,河南,6月高考完准备去日本，swich2能买到么
FKUNVIDIA,保密,广东,大伙们推测一下发布后多少可以拿到手呢？
十里瑶琴,保密,陕西,switch2变大不知道是坏事还是好事，当前的switch感觉正正合适，变大会不会降低掌机的便携性；另外是joycon的链接方式，这次两侧里面有个类似usb的借口，这个接口的强度如何，会不会氧化、断联等等。我买了三台switch，现在听到switch更新了，居然有种自己已经落后于时代的感觉了hhhhh
gloria果赖,保密,重庆,我直接拼夕夕入手
BlazarXi,男,安徽,"没买1代
性能提升如何
1080能60fps吗？"
神力恩泽,男,未知,祖传大黑边+LCD[笑哭]，好的我们现在可以开始期待Switch2 OLED了
X1comax,保密,广西,期待国补，国家大补贴[doge_金箍]
魔封虚无大宇宙,保密,广东,2日版大概多少钱？我想玩宝可梦za，3k能拿下吗？
猫来挠,保密,辽宁,就没人疑问长时间鼠标模式会磨平吗
Etooile,保密,上海,去年买的成笑话了？
第一御姐控,保密,广东,等不及了快来吧
梦里音序舞飘渺,保密,海南,买不买，得看出来后的游戏，最近几个月出的游戏根本没兴趣都吃灰很久了
無敵破壞亡,男,广东,老任实在不行给苹果磕个头，用个a18估计会好点[点赞]
英文童话故事机,保密,广西,哎呀妈呀，这NS1都长得有点过了，说实话。NSlite那个正合适，这下子NS又变大了，有点过了啊。
我爱罗-桑嗎,男,四川,这个ns2多久发布啊
长街の邮差,保密,安徽,掌机手柄极其难用，怎么握持都不舒服，迫不得已买手柄
不爱喝水v,女,山西,lite会不会有新版本啊
Elysia-永存,保密,陕西,你要知道为什么说见证历史，17年的东西25年才出续作，整整过了8年，况且手柄从滑轨变成了磁吸，这难道不是任天堂历史的革新吗？这台主机要是做得好的话，真的可能被载入游戏主机史上，这不是见证历史，这是什么？
djdjchd,保密,江西,能塞尔达1080p 30帧我就买，不能就算了
AltezzaX,保密,上海,这个手柄接口明显是可以接别的外设的，肯定有一个第一方作品是接一个别的什么玩意上去[喜欢]
一樂拉麵_,男,广东,大概什么价 有大佬预估一下嘛
东老师讲英语,男,河南,用好尿
合法的大家,男,北京,买PS5还是switch
心の永恒99,男,江苏,Ns2最想我期待的一个功能就是能不能支持真正意义上的快充
火龍不敬水龍敬,男,辽宁,可以可以 等价格稳了买个经典色收藏 然后等OLED限定[吃瓜]
wtz519,男,海南,[笑哭] 这大黑边还不如ns oled
看见什么都不会,保密,广东,刚买马车8+dlc，黑化了[笑哭]
星坠为雨,男,江苏,好家伙4月份才有直面会，今年怕是别想原价买了，OLED版又可以撑一年[笑哭]
bravepang,保密,河北,等2上市了，收一个一代OLED，估计史诗级好价[嗑瓜子]，刷上安卓玩串流，再刷个乌班图当电脑，性价比嗷嗷高[doge]
HR_吴彦祖,男,湖南,怎么办本来想年前买台oled的。。
Ahanaka,女,湖北,"省流：ns2是ns1的第二代
ns2是ns"
格奥尔吉·康斯坦丁诺维奇·朱可夫,男,甘肃,坐等lite版
饭少啦,保密,广东,LCD屏黑边太宽了，坐等OLED屏。
洋芋逗恶龙,保密,云南,首发护航第一方游戏估计是马里奥赛车9、密特罗德prime4（展示鼠标操控功能）、甚至可能有新3d马里奥。
今天想吸猫,保密,广东,手里的switch国行吃灰好久了，tx关服给的几个游戏下了就没动过[喜极而泣]
壹仟毫升,保密,重庆,logo真的丑
白紙TV,保密,日本,这控制器让我想到了一位故人叫做千手柱间（因为双手一拍要啥来啥）
一十十十十,保密,江西,@啪叽啪叽吖
慵懒的K先森,保密,安徽,宣传看的没啥感觉，放点分辨率帧数相关的多好，不过真要是没有底气放不出来的话，唉，够呛啊[藏狐]
浅唱灬淡笑,保密,湖北,主机模式能4K30了吗
D瓜哥,保密,北京,从视频来看，视频有大黑边，这个屏占比不是很哇塞啊，😱😱
海边的孔乙己,保密,日本,加的功能太多 修的时候会很痛 尤其手柄这种机械损耗大的 现在不但要摁 摇 晃 甩 还要在桌面上搓来搓去 有点担心寿命问题
池甜甜,女,辽宁,宣传片做的真牛
hope-dream梦某人,保密,浙江,怕了
慕烟villy,女,浙江,坏了
巧乐滋蛋黄酱,男,陕西,没新游戏，不买，pc上都打通一遍各种3a大作了，买来再打一遍，累的一批。
保持自我,保密,湖北,感觉外观缺乏打磨了
s1lence_pw,保密,陕西,感觉砸脸上会很疼[热]
有朝肘死天下人,保密,青海,有没有塞3，或者什么马里奥这种大作保驾护航？
九鸟九鸟鸠鸠鸠,保密,陕西,从兔坦变成危险兔坦了[思考]
疯狂摄入多巴胺,保密,广东,奥德赛和鬼屋续集快端上来吧
墨断秋,男,四川,我就一个问题，摇杆还漂移吗？这玩意儿实在是烦死我了
秘制酱洋芋,保密,日本,那我是不是应该等NS2出了以后再玩王泪，体验应该会好很多
比科烦坚强,保密,江西,性能怎么样，Switch买完没用几下就吃灰了，玩的难受
TheTerminal_,男,河北,等升级版了
政治正确的产物,男,天津,能玩3a我也买一个[笑哭]
マブラヴ,保密,天津,多少年前就说等新机，等着等着都快忘了[汤圆]
纮亦大王,保密,江苏,"最担心的几个问题：
1.支撑架变小了，看起来很容易断
2.漂移在哪些游戏上适配
3.会不会给老游戏做升级或重置
4.护航游戏
5.性能有什么提升
6.价格"
寂_川,保密,四川,想知道动森的全岛转移能不能转到二代上面，毕竟没有云存档
楠哥sama,男,上海,原来国外那个老哥没骗我
文兰的葬礼,保密,湖北,能玩黑神话吗
PaPaPu,保密,上海,拿着手更酸了[点赞]
高ku,保密,四川,我的3ds2呢？
TENINEVAN,男,广西,一代我自己玩就觉得有点长了 这变高变大真的就当平板在床上玩了呗 带出门已经不太方便了吧
为什么改名要硬币啊淦,男,广东,switch2续航版，switch2OLED版，这得等到猴年马月呀
喜欢吃花生酱的蛋糕,女,上海,说实话 在实机演示+真实到手体验以前 不做好坏评价 不过还是抱一下期待 希望二代1080p+60hz搞起来[保卫萝卜_哇]
Matsuno_艺果Z,男,河南,"这么大会不会太重了……而且感觉颜色不好看，没有玩具感，最讨厌的是那个大大的数字2的设计，丑丑的。
喜欢switch的地方就是因为它作为掌机玩也算舒服，希望这个加大不会拿着更累……"
1oz47,保密,江苏,到时候看代购溢价不多就买首发 这个jc的设计真的不会断吗 我现在的续航版都松松垮垮的一用力就吱响
我自横刀向天狂笑,保密,广东,感觉手柄连接这个金属片是技术的倒退，甚至可能是硬伤!
抹茶与绵绵冰,女,陕西,包买的[打call]
晞曦犧,保密,江西,@Mystery59
假斯逼斯你撕,男,上海,这东西躺着玩睡了砸脸上要轻伤喽
小白pikoy,保密,湖南,所以价格多少，三千以内就闭眼入了[来古-注意]
公主大小姐驾到,女,吉林,推荐买oled的还是新的哇 感觉新的大了不少但有黑边
Consta_,男,安徽,支持60帧吗
不会唱歌的山雀,保密,广东,@搬进风的眼镜里
聪明骄傲的那兔,男,天津,已经有两台1代机，再考虑要不要入手2代[吃瓜]
御坂19171号,保密,湖北,王国之泪应该能稳60帧了吧[笑哭]
拜托你佷弱唉,保密,河北,@梓川__咲太
友好邻居李田所,男,云南,卡扣容易滑的问题解决了[doge]
徐77啊,女,山西,这个可不可以以旧换新啊，我去年六月刚提的oled，我可以去日本换啊啊啊啊啊
龙2078,保密,海南,就是不知道性能怎么样了
檀茶曲奇饼,保密,湖南,ns已经很重了，二代大一圈拿着玩得多重啊
药不妖白,保密,江西,@缺德之星
Lcy_346,保密,河北,这么多年终于出了
摩林良可,女,湖北,经典还是经典啊[胆大党_微笑]
我们魂5是这样的,保密,山东,多少钱
Bb_Z28,保密,江苏,大概要多少钱啊
柴米猫,男,江西,我只关心王国之泪在这个机子上能不能发生质变
zdjsjb,保密,内蒙古,我去，昨天，我错过了什么！！！！
2skc,男,四川,就这啊
hjmares,男,广东,卖399的PS4
芜湖呀yi巴扎黑,保密,浙江,我现在把我九成新只开机过一次的switch出了能换多少钱啊[笑哭]
猎户座_awa,保密,河北,@北战か南钦
枪响了我就完了,保密,福建,ns与ns2好比gb与gbc
提瑞斯法,保密,黑龙江,从这个广告里能看出来2:1多什么呀？
゙化境春秋,女,河北,感觉没必要买新款啊
贪吃的没牙仔,保密,山西,出下一作塞尔达或者喷喷4就会买
伱若凉笙,男,福建,贴吧一个月前就爆了，一摸一摸的外观
琪猫猫和电电龙,保密,广东,还没买过switch，港版和日版有什么不同吗？买哪个更推荐一些啊？[笑哭]
露隐葉月,保密,湖南,这次不是谣言了？？？
大虫英雄武松,保密,广东,新游戏呢
katory,保密,广东,这底座还会把机器热弯吗
半田_清舟,男,福建,环大陆发售[酸了]
夏のviolet,男,重庆,老游戏在新机器上帧数会高吗，还是说需要官方优化了帧数才高
未闻花名wm,保密,青海,所以这款是屏幕不是oled吗
霂宫真,男,吉林,how much
关于存在的定义,保密,江苏,上一次居然已经快八年了，所以一出肯定会被高价倒，但是按照ps5刚出的行情，我可以等
草莓酱1412,保密,广东,这次是真的了吧[脸红]
雅茗茗茗,保密,湖北,窄窄高高的鼠标不会很难控制吗
-睡眠24小時-,保密,中国台湾,是說這次手柄拆起來感覺有點醜 這樣兩人玩馬車會不會嫌[笑哭]
周董荣光永存,保密,浙江,为什么马车的这个图我没看过？
刀削面师傅,保密,广东,啊?
狩魔猎人kf,保密,山东,历史时刻2025年1月16日10:00
ad1123s,保密,四川,wc，终于来了[笑哭]
Sienao,男,浙江,@Eroentain @是一座孤寂的乐园呀 @Feather_QAQ
3こと,女,河南,看得我毫无购买欲望。。
马雯杰,男,四川,超绝大黑边 其他没意见
坠机的冰红茶,男,陕西,那不是没有标志性的滑动插入那种[doge]
汐宝圆圆的心,女,未知,我去 真的是你啊[穆小泠_憨憨]
离开森林的南瓜,男,辽宁,"我担心手柄接口损坏[笑哭]
怎么看，怎么像是容易坏的样子[笑哭]"
潮汐风暴,男,江苏,Switch2太大了，不如1代好
澍泫流云,保密,云南,越来越不像掌机了
迅雷疾风之奈亚托,保密,江苏,数字版游戏应该也继承吧
奔跑吧WS,男,辽宁,等switch2 lite，掌机只要太重接不了一点，那个steamdeck也是，多此一举
chorediizy,男,湖北,不得不说自从有了steamdeck就没在ns上买过第三方的游戏，如果ns2性能跟steamdeck持平的话加上首发护航大作可以在一代ns上玩那我估计不会想买了
丝断魂,男,江苏,我刚刚把Joy con放在桌子上模仿了一下鼠标操作，确实好用的喂，如果和视频上一样宽，玩起来完全没问题的[喜极而泣]
Li_RRRRR,保密,四川,啥时候出？
丨大侠丨,男,黑龙江,这手柄能结实卡住吗
keakalllllllllll,女,安徽,问一下各位大佬，我已经有switch1了，2出了买还是不买呀[无限暖暖_毛线汪汪]价格最高大概多少
Ph1Z5,保密,重庆,爆料人一如既往的准时啊
池池池池鹤,女,美国,还是喜欢ns1[笑哭]但出了新的肯定想买
i栗青i,女,广东,性能要是带不起魂3就不升级
Cortesd新宇,男,安徽,见证历史
・涂鸦・,保密,河南,这个配置要比quest3高多了啊。
・涂鸦・,保密,河南,首发游戏的阵容呢？
斯塔尼亚-,男,浙江,失望
゚゙゚゙゚゙坂田银时,保密,陕西,无所谓我会出手
飞的城,保密,广东,还好我把ns一代卖了了
ユム,女,江苏,599欧 我入手ns1的好时机
FinishSS,男,天津,Switch plus 磁吸版
十口儿,女,浙江,就……心里不是很有波澜[藏狐]
猫鱼恰猫鱼,保密,浙江,不好评价。。等游戏吧
特别猪猪行动,保密,四川,是不是要炒疯了，到时候五六千一个
桔橘iii,保密,广东,就这？🤣🤣
YONGGUKLIANG620,保密,广东,有点失望 只是变大了和硬件升级了 感觉设计感没多少[笑哭]
dCharab,保密,安徽,你健身环要怎么玩
祈年人,男,北京,手柄的红外功能还有吗
急森莫啊,保密,福建,变化在哪？
prisic,保密,黑龙江,反正我今年估计也买不到
小哆啦爱哼歌,男,内蒙古,王泪其实1代有些带不起来，体验感不如野炊，希望二代可以提升游玩体验！[嘟嘟]
clock赫,保密,山东,能把丝之歌带过来吗[笑哭]
晴空素白,保密,湖南,会断吧，绝逼会断吧！不说手柄，就那支架感觉都会是重灾区啊……希望到时候发售了关于硬件的问题能少点吧
一般路过美术生,男,浙江,感觉不如一代好看
艾宏,保密,福建,过来围观[doge]
燕山棕狗,保密,山东,摇杆还是碳膜吗
e不知道起什么名字,保密,江苏,这个预告片推特上几千万播放
哈基米德-_-,保密,山东,"那么ns1能玩ns2的游戏吗？[微笑]
现在着急换ns2吗？如果头几年的游戏向下兼容ns1的话那我就不着急换"
夜里看风景,保密,广西,太酷了
3R1C_WU,男,澳大利亚,这个手柄包出问题的
好好好俊,男,韩国,太牛逼了我靠我靠
GYZMy,保密,美国,见证牛魔
断平三色欧吉桑,保密,福建,这一世代的硬件已经黔驴技穷了，还是看看软件吧
爱猫能力者的小明,男,福建,能給我玩60帧王泪吗
尐拳拳锤你胸口,保密,浙江,买
夏罗法娜尔,保密,四川,可以用来当平板吗？没什么想玩的游戏。
蓝色的暴鲤龙,男,俄罗斯,黑不黑边我倒不太在乎，我就害怕手柄的接口容易摔坏，switch摔坏了换个卡扣就行了这种接口摔坏了自己都修不了
塔科夫dirtyman,男,中国香港,等等党
野孩沙琪玛,保密,山东,刚买了1，，看不得这个
账号已注销,保密,上海,有啥新游戏啊？
中国老百姓_,男,福建,厚礼谢
下班嘟嘟haha,男,重庆,说实话除了性能提升，其他的改动有些劝退我，光是旁边的插槽就看着很不舒服
贾婷婷,男,广东,弱弱问下 这台机子跟Steamdeck谁厉害啊 性能上
鄸罟上单,保密,陕西,@RazFoxx
糯米肉粽子咪,保密,上海,啊，那感觉得在过年前入一些之前没舍得入的卡带，感觉今年下半年卡带肯定要涨了（）
苏见仁,保密,山西,这次一定不能买国行[嗑瓜子]
大碗-猫,男,安徽,怎么这么像steam deck
大白先生奶糖,保密,湖南,wiiu停服了，switch2自己看着办吧
私嶔sty,保密,北京,真叫Switch2啊[笑哭]
蛮颓的章鱼,保密,湖南,这是又变大了吗，希望不要太重……🥲
辣子鲜虾堡,保密,陕西,这大黑边 为什么还这么大
人形辅助压制队友,男,河南,别的不说我只在乎价格
暗箭无声,保密,湖南,终于不是舅舅党了
哗啦啦打雷,保密,北京,没有独占和现象级的游戏 就没什么卵用
Xyk20080101,男,北京,可以玩文明6吗？用switch初代玩文明6实在太卡了！[笑哭]
柒二七柒,男,浙江,2的游戏1可以玩嘛🤔
随处可见的暖流,男,广东,[未来有你_打call]
搞点消耗778,保密,广东,2的游戏，1能玩不？
古蘭香,保密,浙江,护航游戏还是红绿帽
御坂御坂゛,保密,湖北,希望价格不要超过3000[微笑]
wind-song,保密,河南,价格是前代的多少倍啊[藏狐]
推车の猫,男,黑龙江,我不喜欢底座正面那个大大的数字2[笑哭]
JL_GD,保密,广东,没有护航大作，再强也不会出现早期大卖
主打陪伴不刷钱,男,山东,一个ns2让我从大学等到就业[无语]
就叫冷伤吧,保密,广西,ns2上会有p3重制版吗🤔
daijingbao,保密,黑龙江,充电器跟一代通用吗？
包子馅的叉烧,保密,日本,终于是赶上ps4性能了
Me_Wow_,男,内蒙古,我好奇switch我有八个手柄，到了二代是全部报废了吗
小王子的桃子啊,保密,广东,刚买了oled......过两年再买2吧！
小王子的桃子啊,保密,广东,刚买了oled......过两年再买2吧！
baoman2010,保密,上海,多少钱，趁着日币狂贬，快发吧
想当艾达姐姐的狗,女,辽宁,大黑边是想怎样
大力屙屎仙尊,男,贵州,这屏幕怎么舍不得升一下，非得留着过几年在出一手OLED？
瀚如星河,保密,浙江,终于能玩到高清的异度2了吗[大哭]
安莉洁徐望书,保密,广东,可以玩2077吗
木木枭本木,男,海南,老任消息好慢
星空Twinkle,男,吉林,希望这台机子能让我更流畅的玩动森，现在打开动森的等待时间都够我睡一觉了
゚゙゚゙゚钟离,女,海南,希望能稳定在3500左右
喵喵发电机ovo,女,山东,[惊讶]数字版完了
该6还是你6,男,上海,[大笑][傲娇]
d0ublehUnter,保密,瑞典,"没咋玩过任天堂游戏,现在switch上有哪些好玩的游戏呀"
lrsbmy,保密,马来西亚,这个和steam deck比怎么样呢？有木有懂的人建议一下，如果玩steam的游戏的话可以嘛？主要是一些3a和herstory，千恋万花这种影视游戏
不眠二台,保密,浙江,还是想先看看有什么护航游戏啊[tv_大佬]
喵咪使徒339,保密,江苏,坐等评测，观望下性能，那样我就可以出掉win掌机，直接买s2了
不再抽象丶刘某人,男,江苏,"SWITCH主机
新款性能真犀利
想要拥有你"
ps连营,男,广东,@藤原阔海爱吃田螺
本乡姬奈,保密,日本,包抢的
红Ⅹ,保密,安徽,switch U[doge_金箍]
打不倒の西撒,保密,江苏,抢！
-染色,男,北京,性能？
烤鸡腿肉汉堡包,男,广东,大黑白，性能不如xbox
温故而知新快滚去复习,保密,河北,都2025年了，还没有简中的宣传[藏狐][嫌弃]
红叶Suzakuin,保密,辽宁,怎么还是跑马黑边
被窝是最厉害的防御,保密,广东,既然那么多人不信za能护航，那我赌赌[思考]
农夫三拳有丶恬,男,黑龙江,等什么时候屏幕大黑边变小了 我再买！[doge_金箍][滑稽][喜极而泣]
゚南知意,保密,广东,好耶，可以跟女朋友一起玩了
一藩,男,福建,时长222
きずな风信子,保密,安徽,@尼娅NlYA 不考虑给我买一台吗？毕业了就没机会给我买了[给心心]
きずな风信子,保密,安徽,外观和设计没什么新颖，希望性能提高多点吧
十里坡剑神大陆分神,男,江苏,有个问题我在2代上登录账号能下载之前账号上的游戏吗
URC桃屋しょう猫,保密,江西,所以1什么时候降价
Nano-42,保密,山东,这视频的音效是不是马里奥惊奇那帮人做的，好滑稽[doge_金箍]
Dafencee,男,上海,昨天生日，真的是老任给的最好的生日礼物
Risen孝一,男,未知,有个疑问，国内怎么预定呢？pdd和某宝估计会涨价…
Kenny12581,男,山东,别的地方看到的：是时候给我的swith带上进化奇石了[doge][doge][doge]
小小的大肚皮,保密,吉林,能用大气层吗
彼岸には花咲く,男,江苏,护航大作，指的是野炊王泪高清重制版吗[蹲蹲]
゚゙゚゙゚钟离,女,海南,希望首发能稳定在3500左右
庄土豆,男,江苏,不会步wiiu后尘吧？
_何否,男,湖南,我说个数 1999￥
_何否,男,湖南,1999
兴趣使然__,男,山西,坐等大气层版[歪嘴]
Shimadaaaa,女,河南,感觉没有一代好看[惊讶]
Anzuilkan,男,吉林,@王海城
Game游生创,男,浙江,护航大作：幻兽帕鲁
南空空哦,保密,广西,我要是买，我就不姓任。
大号曾是五级,男,广东,这个大小拿在手上玩的舒服吗
サスケ_须佐能乎,男,四川,@星雨_落星河
白-鱼--,男,河南,掌机模式能稳60帧我就满足了[鼓掌]
空气且葡萄干,男,上海,@拉达冈and梅瑟莫の梦女
網路病院,保密,广东,"switch vs steam deck！
你们知道吗"
深泽拉姆斯,保密,江苏,顶级动画，太牛了
六到无雨,保密,甘肃,别跟索尼似的交钱游戏才能升级次时代版
夢の羽殇,女,山西,多少米
昵称大魔神,男,安徽,看来只狼法环博德之门3又能在ns2上复刻卖一批货了
Sir未,保密,广西,能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？能60帧吗？
蒂丝桑,男,广东,所以说，这次终于是真的啦？
贺米尔,保密,广东,多少钱
开摆3号,保密,江苏,摆烂这么久，见证牛魔
夜雨霁月,男,河北,有60帧么
爹爹在此孩儿休走,保密,河南,开心[doge_金箍]朋友买的又要掉价了[doge]
牛头人152,男,广东,多少钱我都买。
铁球砸核桃,男,江苏,手柄要是真能当鼠标的话那ns2岂不是能玩星际2了？
一個厚礼蟹,保密,山东,怎么看着没那么有吸引力的广告，，
事四岁,女,湖南,好耶!
无晴夜雨却满天星空,保密,广东,希望这代老任也能大成功
骁雾-,男,河南,@幸伯伯 @GoodIDog
天hei请闭眼,保密,吉林,5000块应该能拿下首发吧
Hutao3473,保密,广东,能上原神吗
八九都没用_何况蜉蝣,保密,福建,别人恐惧我贪婪，别人出手我加仓。满仓switch1代！
慵懒哥布林,女,浙江,oled那我刚买一个月的oled怎么办
Karicccccc,男,上海,1代吃灰的我不会再上当
心里年龄不大,男,山东,感觉不咋地，ns我还是疫情时候买的
破碎煦日中的骚动赤红,保密,河北,不知道你们的ns玩mhrs什么体验，我感觉主机模式最低只有十多帧，掌机模式也只有20帧左右，掌机玩完怪猎再玩王泪，感觉王泪都得有60帧，因为怪猎真是太卡了，ps pc版曙光都买了，但我就喜欢nspro手柄的震动，steam用pro手柄震动和ns的也有小差别不习惯，希望ns2能带动满血怪猎吧
笑花伪,保密,广东,感觉磁吸加插口不太牢固啊。。
川味海鲜,保密,浙江,就这样的机器要搞10年才换代吗
NODER_风信子,男,河北,这个宣传片给我一种自学c4d的感觉。。
小许0596,保密,福建,如果可以用上台积电n3e就好了，起码掌机模式，续航提升一倍！！！
铁球砸核桃,男,江苏,比想象中的快啊
凉凉男孩,男,河北,等新塞尔达和马里奥再买，上次玩还是惊奇和智慧的再现，好久都不玩了
Yuki芈,男,福建,现在入手一代值不[笑哭]一直想买
cannonbaIl,男,山东,我去刚买了pro手柄，适配吗[脸红]
UIJDGJFDI,女,浙江,要开始攒钱了
阿拉丁-沈灯,女,上海,这有啥区别
哈湫秌qiuqiu,女,江西,啊啊啊过年了家人们
已经开始笑了233,女,福建,期待限定机
嗶業生,保密,中国台湾,買肯定是會買的 但就怕缺貨買不到
账号已注销,保密,广东,手机平板的发展，还有芯片性能冗余，任地狱从未打过如此富裕的仗[蹲蹲]
高丽野阿吽,保密,广东,好耶
黑白气氛,男,广东,可以用swich玩黑悟空了[doge_金箍]
科斯莫斯Cosmos,保密,山东,先用着我的lite，等价格稳定以后考虑入ns2，顺带玩g10宝可梦
殘憶丨追舊年,男,福建,投屏支持2k吗？[脱单doge]
2009FiveAngels,保密,江西,旧卡还能用吗？今年会员都没续，就看新机啥情况
小秋不想上班只想睡觉,保密,云南,买就完事了，新款
klxsx1,保密,河北,switch的底座能不能整合到充电器上或者做成便携的甚至直接装到主机里？原装底座不仅太大而且不便于散热。
我同意楚路这门婚事,保密,重庆,[笑哭]这接口经用吗 有点怕 我好奇二代出来了一代是不是会开始大掉价了 还有那b手柄能不能整好点 原装joy还没漂 pro手柄都没咋玩就漂了 漂移修好了按键又失灵了😀多半是排线没插好 现在那螺丝又被拧断成半截了 我已经没办法修好这手柄了
