用户名,性别,评论内容,IP属地
InncoAB,unknown,感觉不如我的王泪限定oled好看，已经开始期待新款lite了,中国-北京
硬币都让小姐姐骗走了,unknown,呵，8年就做出这么个玩意,中国-广东
寒山飞雪XZR,male,本来以为进神庙加载时间看看b站结果就看见这个视频了,中国-山东
此葱非彼葱此乃弎凌葱,male,所以这次是不会再有国行了还是小神游重新发力[doge],中国-安徽
宋辭-,male,快进到2的卡带不能在1上使用[星星眼],中国-山西
秽栗,unknown,一都已经吃灰了,中国-四川
诶嘿起飞,unknown,tm的等比例放大的手不让小朋友玩玩身为全年龄游戏机也不试试带出去方不方便[藏狐],中国-福建
环似,unknown,终于盼到了[少女乐团派对_感想],中国-山西
Marioo-o,unknown,我估计这段就是在暗示手柄可以和鼠标一样用,中国-山东
captainfate,male,可能会有手柄以外的外设吧，手柄也用不到这么多触点啊[思考],中国-陕西
关弹幕看视频,male,本来就大 还加大…… 没救了,中国-辽宁
moyun昂,unknown,一代还是可以玩的[doge],中国-浙江
粉碎南瓜,unknown,看完不高超的是这个👍🏻,中国-安徽
米开朗基努里维斯,male,你妈的我刚买的switch,中国-北京
中子疾速加农炮II,male,我很好奇新的玩法是什么，因为这个视频我看不出任何东西,中国-江西
松兹侯,male,什么垃圾都有人刷见证历史。,中国-安徽
Zinb_R,unknown,手柄配件截图[呲牙][呲牙][呲牙],中国-北京
unicorn的烤肉,male,当鼠标用得加下面两个附属的配件应该是,中国-广东
hyattishaite,female,砸脸上更痛了,中国-四川
asuna12379,unknown,不知道是不是真的,中国-北京
第第第第第一,male,假的看多了猛一看真的有点不适应[汤圆],中国-河南
そうりゅアスカ,male,阿珍，你来真的啊[胆大党_微笑],中国-江西
T之风,unknown,第一次知道上万人同时看有提示弹幕[大笑],中国-内蒙古
炎神2020,unknown,这黑边就像本来倾国倾城的美女嘴角有几颗痣的难受感[抓狂],中国-湖南
小柚柚快跑,unknown,透的没一点新鲜感了。,海外-泰国
SingaoFE1,male,大概大了这么多,中国-山东
卍象森羅,male,这个连接模式感觉不是很耐艹啊，已经在想一体壳的事了,中国-云南
deep♂dark♂fantastic,male,根据图片中的硬件配置来看，以下是对这款设备（可能是Switch 2）的性能分析： 1. CPU Arm Cortex-A78C 8核设计，属于Arm的高性能架构，主要用于移动设备。 A78C的性能和能效适合运行较高负载的游戏和应用。 具体的缓存规格未披露，但预计对游戏性能会有不错的支持。总体来说，CPU性能在现今便携设备中属于中上水平，能够胜任绝大多数现代游戏的需求。--- 2. GPU Nvidia T239 Ampere (类似RTX 20系列) 1534个CUDA核心：相当于入门级独显（比如RTX 2050或2060）的规模。 48 Gen 3 Tensor cores：可用于AI计算，比如DLSS（深度学习超级采样）技术，有助于在较低分辨率下提升画面质量。 2个RTX光追核心：虽然光追核心数量少，但可以实现基本的光线追踪效果（可能是针对720p或1080p分辨率优化）。从GPU的架构来看，这款设备应该可以运行支持DLSS的游戏，甚至在便携模式下支持一些光线追踪效果。GPU性能上限与RTX 2060接近。--- 3. 内存（RAM） 12GB LPDDR5（部分可能用LPDDR5X） 两块6GB芯片：高带宽内存配置。 LPDDR5的带宽和功耗表现优异，为流畅游戏体验提供保障。12GB内存对游戏主机来说已经相当充足，足以应对未来几年较高画质游戏的需求。--- 4. 功耗与性能模式 手持模式 CPU：1100.8 MHz GPU：561 MHz，峰值1.72 TFLOPs RAM：2133 MHz，68.26 GB/s带宽手持模式下性能限制较大，主要为了控制功耗和发热，GPU性能接近于PlayStation 4的水平，但支持DLSS后可以获得更高画质体验。 底座模式 CPU：998.4 MHz（略低于手持模式） GPU：1007.3 MHz，峰值3.09 TFLOPs RAM：3200 MHz，102.40 GB/s带宽在底座模式下，GPU性能有显著提升，达到3 TFLOPs以上，接近RTX 2060级别。这种性能表现可以轻松运行1080p甚至1440p分辨率的现代游戏，尤其是在DLSS加持下，可以实现更高的画质和帧率。,中国-北京
Mongoliaの上單,male,@我问你这苹果甜吗,中国-安徽
秋南---,male,好丑啊天呐,中国-安徽
小心锁流裂破,male,任地狱没活了，憋了八年就是个NSpro，感觉在外形设计上被索尼和微软完爆,中国-广东
星空长夜i,male,本以为是谣言，没想是真的。,中国-山东
瑟菲羅斯,male,发的这些早就知道了[辣眼睛]还不如发点游戏阵容,中国-湖北
左手没拿笔,unknown,@玩牌伯爵 大的要来了,中国-四川
麻糬吃了会噎着,unknown,终于等到你，还好我没放弃[UPOWER_53456_注视],中国-广东
EdMania,unknown,@Corrupt墨云 来看[doge],中国-天津
顾白白喽,male,祖宗之法不可变,中国-山西
想要一只真圆猫,unknown,@柒盆冬雪w1nte2s,中国-上海
芝麻Guy,unknown,大家看到的是为了安抚第三方厂商，不得不加班赶出来的视频,中国-广东
陈泳民男,male,你好你好,中国-广东
VA1N10VE,male,眼泪莫名在流淌,中国-广东
小q博士后,unknown,名字都不改了吗，直接叫2？,中国-广东
海拉鲁之魂,male,八年！八年！你知道这八年我怎么过的吗！[大哭],中国-上海
yiiii03,male,不过想想还是算了，我ns现在已经在吃灰了(／_＼),海外-马来西亚
SSR白嫖王,male,黑边又大了…………不知道吸得紧不紧,中国-重庆
ReNA233ー,unknown,好好好好好好,中国-广东
锥同学,unknown,我必须立刻玩到,中国-北京
神意高达,unknown,第一！,中国-辽宁
特斯拉的电磁猫,unknown,据说丝之歌为2代护航作？真假？这也太幸运了吧[星星眼],中国-四川
MC-Creeper,male,不会把switch2当主力机，太难看了。把它和switch oled放一起一对比就知道了，但是买来玩独占游戏还是可以的,中国-山东
Surtr永远的神,male,@摇曳鳗鱼 @-Marsh- 讷哥的最爱,中国-广东
酸奶香橙,male,不好说，有种可能会断的感觉,中国-江苏
nmda,male,16g内存也不肯给，还没出就落后，大概率还是第三方坟场,中国-广东
老乔君,male,弹幕屏蔽前后：,中国-湖南
GMTech,male,@隐粤种递,中国-广东
没有兔子啊,unknown,@原野真澄,中国-广东
龍の力,male,终于来了,海外-日本
゚奥尔斯蒂德,male,我想把这玩意染成绿的,中国-河南
无____________名,unknown,任天堂真是坐稳了老大啊。。 全是独占 不拼索尼性能优势也不拼xbox价格优势 索尼随着50系发布优势也殆尽了 旗下独占游戏几乎没有了 xbox靠着自家xgp会员锁住一部分 但几乎不挣钱 而任天堂靠着独占真是压的别的死死的[给心心],中国-山东
魅塔骑士,unknown,有些人就别惦记你那o神了。o就算能上最快也要优化一年，到2027年，那时候的o剧情早都完了，你还会不会玩都不一定，到那时米真的还舍得花钱整移植吗？o今年扣得连自己拜年纪的钱都省了，过几年只会更扣,中国-广东
零時迷子丶,unknown,还好不是4月1号，不然就愚人节了[辣眼睛],中国-辽宁
素月墨羽小尘尘,unknown,来，IGN来说说看这个配色正确不正确啊？这个样子正确不正确啊？这个形状正确不正确啊？？？,中国-上海
嗶業生,unknown,體驗活動,中国-中国台湾
我的昵称又被和谐,unknown,感觉没有原来的好看[藏狐],中国-广东
起个名字起无语了,unknown,ns2手柄和主机链接的那两个接口，会不会很容易折断？,中国-福建
京-A99999,male,总算不是那种个人媒体的假预告了,中国-广东
身外弦音的小号,unknown,好丑的logo啊,中国-新疆
左礜桃支,unknown,@粥批shoushou味,中国-江苏
看我开摆,unknown,@MAG飞天,中国-江苏
_-栗悟饭和龟波功-_,male,不知道以后会不会出一个NS2 Lite[doge][doge],中国-黑龙江
临极九晖,male,不知怎地，视效上，音效上，感觉好好吃，而不是好用[捂脸],中国-山西
vandarkroom,unknown,@Last依绫术丶,中国-海南
古鸪鸟AncBrid,unknown,取消滑动仓简直就是少了灵魂[捂脸],中国-江苏
V布里塔尼亚V,female,[笑哭]完蛋了，我记忆错乱了，我一直以为首发就是有中文的。直到我刚刚翻了翻相册……,中国-浙江
偷电狂魔派蒙,unknown,鼠标模式稳了,中国-广东
豆丁不可能那么可爱,male,隔壁win10掌机早就卷到没黑边[辣眼睛]问就是老任老习惯省钱,中国-广东
T-Foenix,male,毫无新意，游戏估计也还是那些,中国-四川
星航者发现号N1,male,原本的体积就已经够大了，这个还又大一圈，完全没有想买的动力,中国-新疆
拔丝微波炉,unknown,性能基本没啥提升啊……该30帧还是30帧[笑哭],海外-加拿大
寄给兮爷的心,unknown,这么一看，任天堂黑粉真不少……,中国-北京
Parfait_cat,female,这手柄接口……买不买还是先看看谁护航[doge][doge],中国-广东
吴娘暮雨萧萧曲,unknown,身为一台次世代主机，性能上还比不上前两个世代的ps4pro或者天蝎座，更不用提本世代的ps5/xsx了。这种事情也就任天堂干得出来,中国-浙江
BAWbowl,male,其实得小diss一下的 像什么大黑边，塑料感强云云其实都还可以，以后出升级版或你弄个外壳很轻松就能解决。 槽点最大的就是这个joy-con，上一代败在了摇杆漂移上，这一代我个人感觉可能会败在这个充电接口上。 诚如我看了这个新的预告，ns2机身两侧有两个明显的不能再明显的充电口，让我不禁回想一代ns的joy-con的充电口呢？所以我把放在角落吃灰的Switch的joy-con拆了下来仔细看了看，找不到接口，然后就去搜了下，详情如下图。,中国-江苏
YHTMIT,male,这是OLED 的卡扣设计，一眼简单耐用，这2莫名其妙整个外端接口一造手柄跟着接口连着坏,中国-广东
姬蕗亽,unknown,有一个游戏从发布说要上ns，至今还没上，都把2给熬出来了[doge],中国-河北
又要到饭了_兄弟们,male,8英寸的话，不应该叫掌机了,中国-山西
电子菩萨超度仿生羊,unknown,新游戏卡带过渡补药不兼容1啊[墨镜],中国-广东
DZ04,unknown,switch2是真实存在的！！！,海外-马来西亚
jdtsui,male,来啦来啦[保卫萝卜_哇],中国-上海
芬漾,male,How much,中国-山东
洛琪希躁动不安的小手,unknown,希望王国之泪能稳定60帧，王国之泪我玩了两遍都没通关就是因为掉帧（第一遍因为要卡bug删档了，玩了七十个小时，第二遍打到贤之贤者就没再玩了） 尤其是火神殿，在地底下又黑又卡还绕，玩的脑袋晕乎乎的,中国-江苏
虹fantasy,unknown,这也太大了，一代已经和ipadpro一边长了，二代更是个大砖头,中国-天津
一只大攻鸡_attack,male,希望能中体验券，很期待实机的上手体验[脱单doge],海外-日本
夕鸟心,male,@会飞的兔子__,中国-广东
冷酷仙境的山田波特,unknown,我这种偏联机游戏，ns吃灰很久的玩家，感觉二代没那么大吸引力啊,中国-江苏
吃是硬道理,unknown,来来来,中国-上海
鱼的摸,male,接口倒不用担心会断，以前也有，接触不良就吹一下,中国-广东
小囧咩,unknown,@zhaochenni,海外-加拿大
飛鳥生命事務社社長,unknown,能让我玩上更高清的XB就好,海外-菲律宾
角角不是角角,male,这个像临时做的演示视频，因为外观暴露得差不多了[笑哭],中国-重庆
CodecodCoke,unknown,极其失望,中国-福建
苦瓜后人,unknown,这玩意大概会多少钱啊[笑哭][笑哭],中国-上海
涄霖,unknown,dokidoki,中国-陕西
大力士巨锻匠,unknown,看到这接口突然想到我没看到过ns手柄的接口，拆下来翻了一圈原来在这,中国-浙江
花姐の重启人生,female,我比较关心画质是否有提升。才入手oled,中国-天津
Steve三路全崩,male,不知道准不准大家就当看个乐,中国-江苏
无聊的小啊琦,unknown,说实话感觉有点拉胯[笑哭],中国-陕西
恶烂蛮,male,这大黑边浑身难受，估计到时oled版就是8.3寸屏，然后续航加上，毕竟oled屏幕薄。,中国-广东
路人_乙,unknown,这叫2？怎么感觉都不如steam的和微软的,中国-北京
106近卫,male,跟steam deck比呢，又有点纠结了,中国-广东
玩原神玩的zzz,male,哦吼哦吼吼,中国-福建
可爱笨蛋哟,male,部分游戏不支持，健身环第一个不支持[大笑],中国-广东
挖槽挖槽,male,今天我生日[给心心],中国-吉林
密雪冰成,unknown,看来爆料的是真的,中国-重庆
只有你不在的未来,male,it之家倒是说可以通用卡带,中国-重庆
赤士羊,male,只希望有60帧，60都没有干脆别出,海外-刚果民主共和国
雪枊秋,male,终于！官方公布的，不再是什么自制同人视频了，我这一仓库的游戏终于不用吃灰了，虽然还不清楚2的性能表现和价格，但是我非常希望塞尔达传说旷野之息能出重制版，还有斯普拉遁4，宝可梦传说za，马车9，25年游戏圈越来越疯狂了，我很期待看看新出的游戏是否能够跟gta6掰掰手腕，我真的非常喜欢任天堂的游戏，他带给我无与伦比的游戏体验。,中国-河北
载着快乐,male,@陇喧,中国-甘肃
难忘霜,unknown,就是不知道海关到时候政策准背几台回来,中国-江苏
面包哦飞手,unknown,如图😹😹,中国-河南
東方曐落,male,终于来了,中国-黑龙江
风露KazeTsuyu,male,所以是体验会之后发售吗,中国-福建
爱玩游戏的高压锅,male,多少钱啊,中国-陕西
C_Graphite_,male,看起来这回2是在joycon上整新活，现在ns的那个腕带配件啥用都没有，这回的还真就加装鼠标功能了？不只是插槽升级、右joycon还多了个神秘小按键。 大家都在想护航作是绿帽子还是红帽子，但除了宣传片里的马车新作，我还是更期待老任能怎么用新joycon玩好wii sports wii fit还有switch健身环或者labo这类产品，joycon真的才是switch的精髓。,中国-陕西
Peartree1,male,有点像史，不确定再看看,中国-山西
无色白片258,unknown,这个航母黑边…… 牢任甚至不愿意直接把oled上那块屏幕搬过来[笑哭],中国-四川
kanieer1queen,unknown,这不积灰就是大进步了[笑哭],中国-广西
秦川鼠人,male,看了下自己上次玩ns是在啥时候，蚌埠住了,中国-陕西
Kipor4,unknown,我已经准备好了家人们[脱单doge],海外-日本
Gegolos,unknown,@也就鹅考 I want this.,中国-安徽
加半法,male,【《原神》NS版宣传片-哔哩哔哩】 https://b23.tv/Mvaa7DP，还给我,中国-山东
人心本就分雪炭,unknown,01:26 这个啪的一下，有点怕松动（热点进来的纯路人随口一说）,中国-四川
gangster,unknown,有其他颜色吗？,中国-江西
元-薄依少年,unknown,向下兼容！ 卡带狂喜,中国-江苏
万有印力,male,@容时clock,中国-安徽
秋以涩,unknown,直接叫“2”真是没活了,中国-浙江
榴钢核,male,六百六十六,中国-上海
変態宇宙人,male,不是，这黑边？你TM有毒吧,中国-北京
Naicoo,male,不如这个,中国-上海
Xecat,unknown,别直接在机器上印2吧[干杯表情包_不忍直视],中国-四川
蓝魔紫王,male,！！你来真的啊！？！[惊讶][惊讶][惊讶][惊讶],中国-广东
伊藤猹,female,来了来了@穿威,中国-安徽
KK梓华,male,没啥游戏玩,中国-广东
干饭人Gao,unknown,卡带兼容，switch2只要不超2000，出了就换[doge_金箍],中国-贵州
幸晤卿,unknown,@鹦鹉螺号47厨 草 宝宝这个手柄感觉不怎么牢啊[思考],中国-江苏
Elysia-永存,unknown,你看，这不就断了？[doge],中国-陕西
梨塔塔塔,female,感觉丑丑的，等个好看的限定版再买。,中国-山东
咲夜accelerator,unknown,快点来吧(〜￣△￣)〜,中国-河北
-XCN-,male,任豚太吓人了，但是平时怎么看着还没猴黑多,中国-河北
反弹了了了,male,有点害怕把这个弄断，虽然不知道怎么做到的但感觉自己真的能做到[捂眼],中国-上海
Schmutzhund,male,如果性能继续烂，再买的不是为了独占就是纯贵物,中国-山东
点一份水煮田鸡,unknown,https://b23.tv/BV1fJ411E7uV,中国-广东
Jungegegeg,unknown,看看这次要加多少钱,中国-浙江
ACehizuy,unknown,24个车位？马车9？！[哦呼],中国-黑龙江
帅气陆某人,male,@ppyeyang,中国-广东
同情没独占的游戏机,unknown,你们千万别买，不然我要愁怎么抢到首发了,中国-四川
kriro2,unknown,今年正好是我入坑ps第12个年头，怪猎世界pc是19年初登陆的，今年正好第6年，那不正好吗？ 按你的逻辑，我肯定比你更懂ns，恭喜你，怪猎时间摸到了我上手ps的一半，我很疼儿子的，这6年我给你算的24小时都在玩，我对你好吧[星星眼] 小废物@日乌阳炎羲,中国-四川
兰波666,unknown,都2代了，按键还是那么小，你做大点会死啊[傲娇],中国-重庆
exsadrilito,female,外观有点丑,中国-福建
芥子符,unknown,买买买哈哈哈哈哈哈哈哈哈,中国-浙江
喝了奶茶睡不着吗,male,我要我要我要我要我要,中国-上海
正义的秦空帝尊,unknown,昨天翻出很多年没玩的大三，研究出一个法子。 虽然没网了，但是自己秧一个小的局域网整个收发器还是可以。 试了一下，再加入外网一个私服。 相当于一代码的方式加入私服。 我现在大三 ，还能联机美滋滋！[嗑瓜子][嗑瓜子] 这个方式我分享到贴吧了，下一个外网私服。 很多游戏还是可以联网玩的。,中国-山东
DeepSeek2077,unknown,红蓝配色,中国-重庆
忽然就下雪了,male,定价多少啊大概，有没有大佬估算一下,中国-江苏
回忆靓冬瓜,male,ns plus,中国-辽宁
第一御姐控,unknown,等不及了快来吧,中国-广东
梦里音序舞飘渺,unknown,买不买，得看出来后的游戏，最近几个月出的游戏根本没兴趣都吃灰很久了,中国-海南
今天想吸猫,unknown,手里的switch国行吃灰好久了，tx关服给的几个游戏下了就没动过[喜极而泣],中国-广东
壹仟毫升,unknown,logo真的丑,中国-重庆
一十十十十,unknown,@啪叽啪叽吖,中国-江西
池甜甜,female,宣传片做的真牛,中国-辽宁
巧乐滋蛋黄酱,male,没新游戏，不买，pc上都打通一遍各种3a大作了，买来再打一遍，累的一批。,中国-陕西
保持自我,unknown,感觉外观缺乏打磨了,中国-湖北
s1lence_pw,unknown,感觉砸脸上会很疼[热],中国-陕西
比科烦坚强,unknown,性能怎么样，Switch买完没用几下就吃灰了，玩的难受,中国-江西
PaPaPu,unknown,拿着手更酸了[点赞],中国-上海
晞曦犧,unknown,@Mystery59,中国-江西
不会唱歌的山雀,unknown,@搬进风的眼镜里,中国-广东
龙2078,unknown,就是不知道性能怎么样了,中国-海南
檀茶曲奇饼,unknown,ns已经很重了，二代大一圈拿着玩得多重啊,中国-湖南
药不妖白,unknown,@缺德之星,中国-江西
Lcy_346,unknown,这么多年终于出了,中国-河北
Bb_Z28,unknown,大概要多少钱啊,中国-江苏
猎户座_awa,unknown,@北战か南钦,中国-河北
霂宫真,male,how much,中国-吉林
-睡眠24小時-,unknown,是說這次手柄拆起來感覺有點醜 這樣兩人玩馬車會不會嫌[笑哭],中国-中国台湾
Sienao,male,@Eroentain @是一座孤寂的乐园呀 @Feather_QAQ,中国-浙江
3こと,female,看得我毫无购买欲望。。,中国-河南
离开森林的南瓜,male,我担心手柄接口损坏[笑哭] 怎么看，怎么像是容易坏的样子[笑哭],中国-辽宁
澍泫流云,unknown,越来越不像掌机了,中国-云南
Li_RRRRR,unknown,啥时候出？,中国-四川
i栗青i,female,性能要是带不起魂3就不升级,中国-广东
十口儿,female,就……心里不是很有波澜[藏狐],中国-浙江
猫鱼恰猫鱼,unknown,不好评价。。等游戏吧,中国-浙江
桔橘iii,unknown,就这？🤣🤣,中国-广东
YONGGUKLIANG620,unknown,有点失望 只是变大了和硬件升级了 感觉设计感没多少[笑哭],中国-广东
prisic,unknown,反正我今年估计也买不到,中国-黑龙江
一般路过美术生,male,感觉不如一代好看,中国-浙江
夜里看风景,unknown,太酷了,中国-广西
3R1C_WU,male,这个手柄包出问题的,海外-澳大利亚
好好好俊,male,太牛逼了我靠我靠,海外-韩国
断平三色欧吉桑,unknown,这一世代的硬件已经黔驴技穷了，还是看看软件吧,中国-福建
鄸罟上单,unknown,@RazFoxx,中国-陕西
苏见仁,unknown,这次一定不能买国行[嗑瓜子],中国-山西
大碗-猫,male,怎么这么像steam deck,中国-安徽
随处可见的暖流,male,[未来有你_打call],中国-广东
古蘭香,unknown,护航游戏还是红绿帽,中国-浙江
推车の猫,male,我不喜欢底座正面那个大大的数字2[笑哭],中国-黑龙江
木木枭本木,male,老任消息好慢,中国-海南
该6还是你6,male,[大笑][傲娇],中国-上海
ps连营,male,@藤原阔海爱吃田螺,中国-广东
烤鸡腿肉汉堡包,male,大黑白，性能不如xbox,中国-广东
红叶Suzakuin,unknown,怎么还是跑马黑边,中国-辽宁
きずな风信子,unknown,外观和设计没什么新颖，希望性能提高多点吧,中国-安徽
URC桃屋しょう猫,unknown,所以1什么时候降价,中国-江西
Risen孝一,male,有个疑问，国内怎么预定呢？pdd和某宝估计会涨价…,未知
庄土豆,male,不会步wiiu后尘吧？,中国-江苏
Shimadaaaa,female,感觉没有一代好看[惊讶],中国-河南
Anzuilkan,male,@王海城,中国-吉林
六到无雨,unknown,别跟索尼似的交钱游戏才能升级次时代版,中国-甘肃
一個厚礼蟹,unknown,怎么看着没那么有吸引力的广告，，,中国-山东
事四岁,female,好耶!,中国-湖南
骁雾-,male,@幸伯伯 @GoodIDog,中国-河南
心里年龄不大,male,感觉不咋地，ns我还是疫情时候买的,中国-山东
笑花伪,unknown,感觉磁吸加插口不太牢固啊。。,中国-广东
川味海鲜,unknown,就这样的机器要搞10年才换代吗,中国-浙江
哈湫秌qiuqiu,female,啊啊啊过年了家人们,中国-江西
嗶業生,unknown,買肯定是會買的 但就怕缺貨買不到,中国-中国台湾
账号已注销,unknown,手机平板的发展，还有芯片性能冗余，任地狱从未打过如此富裕的仗[蹲蹲],中国-广东
CR400BF-5032,unknown,这是什么东西,海外-波兰
寻花载酒_,male,感觉一般，便携转接头没有，充电器大小也不知道有没有改，游戏也没有新的。完全可以等后续版本的机器然后平替。,中国-江苏
神奇de大手子,unknown,有点烂,中国-四川
侏罗纪公园1997,unknown,丑，还是原来的好看,中国-浙江
大浪行天,unknown,万一护航大作是原神，乐子大了[吃瓜],中国-内蒙古
格达活佛,unknown,一般。。,中国-广东
在下是饭,male,再不公布都已经快没了[doge],中国-江苏
林易i,female,[某科学的超电磁炮T_幸福],中国-江西
黎明的慧星_,male,额。。。。。无语了,中国-四川
热情终会燃尽,male,2代这logo怎么有点随意啊,海外-日本
缓步,unknown,这个手柄接口很慌啊,中国-浙江
白林67656,unknown,完美形态了是吧，改了跟没改似的[doge_金箍],中国-浙江
花见少,unknown,之前都说ns性能无所谓，我看谁抢的有种,中国-江苏
光蓝效应,unknown,首发全阵容不是全高清重置的1代游戏吧[吃瓜]这个打屁股的音效真的难绷,中国-甘肃
minizek,unknown,看到这个大黑边难道又要卖一次ns2oled,中国-安徽
Etherandir,unknown,感觉设计理念没有大的变化，缺少了点惊喜,中国-浙江
AIR_YEAH,unknown,机器本身没什么惊艳的点，看护航作的水平了[笑哭],中国-广东
彩风龙,male,我怕手柄这插板会被搞坏了[tv_思考],中国-福建
愛が足りなかっただね,male,丑完了，古川就非得出他那lcd屏是吧，nmd基础版用oled是什么很难的事吗？,中国-江苏
十年燐羽P,unknown,没啥大变化，这种设计的终点可能就是这个样了吧[思考],中国-中国台湾
柒夜听弦,male,可惜藤子的ns了,中国-四川
三倍苗主任,unknown,还是等oled吧……,中国-山东
SH26666666,unknown,塞尔达和王泪能给1080P60了不？不能的话，一点没兴趣新主机。,中国-中国香港
富酬者联盟,unknown,@拼多多 [嗑瓜子],中国-河北
咕咕咕鴿雯,unknown,好醜啊⋯⋯,中国-浙江
☆缭乱★,male,看来就是普通的性能增强版了，一般,中国-广西
妮娅丶海尤达佳,unknown,电子垃圾。ns1我在掌机上赤石，ns2我不会买了，只在模拟器上玩了,中国-江苏
细雪绵绵,male,有生之年,中国-辽宁
星之彩-official,male,好丑啊,中国-内蒙古
道夕_,male,这宣传片对比ps5的真一点提不起劲,中国-云南
萌熊的辣条,unknown,@爱喝美汁源橙汁,中国-湖北
最大阿刁老师,male,如果只是性能增强。任天堂也完了,中国-浙江
歼十魔改歼二零,unknown,🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵,中国-四川
仙河绿,unknown,手柄没有1代眼前一亮的感觉了，看到不改名字就有预感没有大的革新结果还真是…,中国-辽宁
永远的卡西莫多失去,unknown,可不要变成wiiu哦😯,中国-山东
路过的赛安,unknown,@zaohaji 你看,中国-重庆
魔女的脚气,unknown,目前来看毫无亮点就是个性能加强版,中国-河南
Henrysama,unknown,没有当年switch的惊艳,中国-吉林
月亮先森_,unknown,感觉更像半代升级呀，没啥新玩法，希望游戏阵容能打我的脸[鼓掌],中国-辽宁
雪之域,female,就是大了一点，感觉没啥区别啊,中国-黑龙江
雲舒舒,unknown,这个logo好草率,中国-河北
麻花煎鸡蛋,unknown,Sw2都要出了，sw1的完美破解怎么还不上？,中国-四川
蔚蓝宇宙浩瀚星空,unknown,完了，PS5彻底凉了,中国-吉林
murakamiyuki,male,多少钱，我怕国外被国内黄牛买完,海外-日本
一罐MENG,male,好耶✌🏻,未知
loverques,male,给我！也整一个！[呲牙][doge_金箍],未知
卡紫拉假乃,male,为什么我觉得这设计很拉胯。。。,中国-广东
11223355880,unknown,真出了呀，等了一年4个月,中国-四川
吃饭喜欢用筷子,male,@Jinbooii,海外-美国
圣邀sa,male,观望吧，感觉创意没有很大提升,中国-北京
贝贝_bili,unknown,配置应该介于ps4 ps5之间,中国-山东
骑士君君,male,破解就在手柄接口上[吃瓜],中国-江苏
格拉基,unknown,边框停航母，过几年再出个升级版是吧,中国-安徽
史上の最强外卖员,unknown,如果是这样我觉得1代再战5年不是梦,中国-江西
burningash,male,我就看第一方能不能撑起这款pro,中国-浙江
格拉基,unknown,蹲到大的了,中国-安徽
白棺,unknown,holy shit，看看它值不值得我买[Mygo表情包_探头][Mygo表情包_让我看看][Mygo表情包_让我看看][Mygo表情包_让我看看][Mygo表情包_让我看看][Mygo表情包_让我看看],海外-日本
怪诞小学徒,unknown,意料之外，就是更大了,中国-广东
a9gust,unknown,想玩塞尔达是不是只能买这个,海外-新加坡
既然已成既然,unknown,屏幕黑边纯故意的。为后续小升级小迭代卖钱。[吃瓜]等迭代几次才是2的完全体。,中国-辽宁
arlette7853,unknown,能玩gta6嗎？,中国-中国香港
KK梓华,male,[doge]两千交个朋友,中国-广东
bili_3546771326240921,unknown,这个logo真的是我上我也行,中国-江西
翱游者,unknown,有鼠标，gal无敌了[喜欢],中国-广东
被霸凌的男同移民黑人,unknown,牛我要在英国抢,中国-广东
六花舞冰岚,unknown,泪目了，别的不说游戏60帧请保证,中国-浙江
我的名字是最长,unknown,不知道玩王泪卡不卡,中国-广西
chistory_,male,switch1代买的游戏放在2上会不会有画质上的升级呢,中国-江苏
AK鹤47,unknown,我已经等不及力，快端上来罢,中国-江苏
罗捷,unknown,原神，启动！,中国-河南
廢物明,unknown,我就是任豚 噗噗噗 買爆,中国-中国台湾
橘子啊柠檬味儿的,unknown,这个黑色有点儿丑,中国-河南
N2N30,unknown,@苏大飞_ @bb的阿德 @omio_HE @小火慢熬的舟 @-Azunyan- @云淡风轻_寻量心 @不恭m @早安五五开 @--吟风-- @玛丽萧 送我一个,中国-浙江
hgweii,unknown,出了直接冲（这边不用加价[doge],海外-意大利
劝你善良aa,unknown,我的王国之泪现在都没玩知道为什么吗？ 掉帧[辣眼睛]快把新主机端上来吧,中国-广东
萌萌哒山楂,unknown,这也忒大了,中国-辽宁
渴死的鱼t,unknown,家人们 我想买个一代等玩到2代价格稳定了卖了换 我没有主机模式的打算 lite屏幕有太小 所以改怎么选[笑哭],中国-贵州
实事求是立于不败之地,unknown,奥迪的车载屏幕产线还没停产的原因找到了,中国-河南
whozt,male,真叫2啊名字好土[笑哭],海外-美国
追鸡者,male,心动，但不多,中国-广东
阳光开朗大天使,male,性能不可能高的，掌机就这点大小，性能高了还得堆电池堆散热就又大又重了，现在掌机就是轻薄续航性能三选二的,中国-浙江
罗捷,unknown,终于可以在任主机上玩原神了吗，可惜以现在的性能看1080p下恐怕是到不了60帧了，除非开dlss,中国-河南
小稣小琬,male,我对门邻居在日本上班，我强烈拜托她给买台首发，不知道能不能买到。,中国-山东
小稣小琬,male,我当初就觉得这代性能应该不会太差，最起码得能和ps4差不太多。因为造型不大变的前提下只能升级性能作为机器的卖点，第一方都糊的不像话，再特么拿游戏性说话就纯傻，吃点好的吧。还因为steamdeck等掌机真的在和老任挣第三方市场，或者你会说任粉一定会买任家机器，没错，但只玩老任的第一方，像巫师3 禁闭求生 泥泞奔驰 霍格沃茨之遗等在其他掌机玩更好。而且还有模拟器的问题，很多人玩模拟器是因为机器画面糊。按以往，老任家机器被破解是早晚的事，如果性能够强，就多一个选择机器的理由，哪怕是买了机器就破解，好歹机器卖出去了。,中国-山东
